track_id,track_artist,track_title,dj_mention,post_id,page,date,text,confidence,notes
44,Shifted,Leather (Original Mix),Shifted himself,8545,Berghain Music,2014-08-03,Shifted himself,high,extracted from post message only
44,Shifted,Leather (Original Mix),Shifted,10331,Berghain Music,2013-09-16,Shifted,high,extracted from post message only
44,Shifted,Leather (Original Mix),Psyk,11639,Berghain Music,2012-09-30,Psyk,high,extracted from post message only
45,Janice,Church Burn Down,Subjected,48,Berghain Music,2017-08-06,Subjected,high,extracted from post message only
46,Wirrwarr,Void The C-Stem (VSK Remix) [NST140],Giorgio Gigli,49,Berghain Music,2017-08-06,Giorgio Gigli,high,extracted from post message only
46,Wirrwarr,Void The C-Stem (VSK Remix) [NST140],Stephanie Sykes,1078,Berghain Music,2017-04-02,Stephanie Sykes,high,extracted from post message only
49,Humate,3.1.,Rubinstein,52,Berghain Music,2017-08-02,Rubinstein,high,extracted from post message only
49,Humate,3.1.,Dr. Rubinstein <3,859,Berghain Music,2017-04-24,Dr. Rubinstein <3,high,extracted from post message only
49,Humate,3.1.,Dr Rubinstein!! 🙏🏻,2623,Berghain Music,2016-09-26,Dr Rubinstein!! 🙏🏻,high,extracted from post message only
51,Elad Magdasi,Two Floors [ANAGRAM007],Dr. Rubinstein,54,Berghain Music,2017-07-31,Dr. Rubinstein,high,extracted from post message only
51,Elad Magdasi,Two Floors [ANAGRAM007],Dr. Rubinstein,858,Berghain Music,2017-04-24,Dr. Rubinstein,high,extracted from post message only
51,Elad Magdasi,Two Floors [ANAGRAM007],Partok,1411,Berghain Music,2017-02-20,Partok,high,extracted from post message only
51,Elad Magdasi,Two Floors [ANAGRAM007],Dr. Rubinstein <3 <3 <3 <3 <3,1486,Berghain Music,2017-02-13,Dr. Rubinstein <3 <3 <3 <3 <3,high,extracted from post message only
53,Heiko Laux,Souldancer (Jonas Kopp Remix) | Kanzleramt,Dr. Rubinstein~ 4:30am,56,Berghain Music,2017-07-31,Dr. Rubinstein~ 4:30am,high,extracted from post message only
53,Heiko Laux,Souldancer (Jonas Kopp Remix) | Kanzleramt,Dr. Rubinstein,4557,Berghain Music,2016-02-15,Dr. Rubinstein,high,extracted from post message only
53,Heiko Laux,Souldancer (Jonas Kopp Remix) | Kanzleramt,Ben Klock,4886,Berghain Music,2016-01-04,Ben Klock,high,extracted from post message only
53,Heiko Laux,Souldancer (Jonas Kopp Remix) | Kanzleramt,Rodhad,5060,Berghain Music,2015-12-21,Rodhad,high,extracted from post message only
