track_id,track_artist,track_title,count,first_seen,last_seen,source_url,notes
226,Robert Hood,Idea (DKMNTL050),1,2017-07-10,2017-07-10,https://youtube.com/watch?v=2nRiDTHitOc,drOpped-iN historical import (2010-2017)
227,TWR72,X3 [FLOAT010],1,2017-07-10,2017-07-10,https://youtube.com/watch?v=Mkz9_XzvzzQ,drOpped-iN historical import (2010-2017)
234,Chris & Cosey,Driving Blind,2,2011-07-19,2017-07-10,https://youtube.com/watch?v=by-fZiJLvzI,drOpped-iN historical import (2010-2017)
236,Laibach,Alle gegen Alle,1,2017-07-10,2017-07-10,https://youtu.be/HFEMhIMMPls,drOpped-iN historical import (2010-2017)
237,Surgeon,First,3,2011-10-05,2017-07-10,https://youtu.be/XaewidK8FXQ,drOpped-iN historical import (2010-2017)
238,Westwood Bros.,Special Tactics 3 Track B2,3,2016-03-29,2017-07-10,https://youtube.com/watch?v=BwggfP68Y-k,drOpped-iN historical import (2010-2017)
239,Paul Kalkbrenner,Steinbeisser (A1),6,2015-04-27,2017-07-10,https://youtu.be/nG1y6TVhBto,drOpped-iN historical import (2010-2017)
241,Brother From Another Planet,Planet Earth,4,2015-03-03,2017-07-09,https://youtube.com/watch?v=GllJfxVsbAA,drOpped-iN historical import (2010-2017)
242,TNTUS,Jupiter 968,4,2016-07-18,2017-07-09,https://youtube.com/watch?v=3fBFop-JGRA,drOpped-iN historical import (2010-2017)
243,Ø [Phase],Binary Opposition [Ben Klock Process] Token,12,2012-08-03,2017-07-09,https://youtube.com/watch?v=MY7KkgBOZaA,drOpped-iN historical import (2010-2017)
244,Wax,No. 30303 (Shed Ø San Mix),6,2012-03-19,2017-07-09,https://youtube.com/watch?v=a_DInKfcSSk,drOpped-iN historical import (2010-2017)
245,Adonis,No Way Back,4,2011-07-24,2017-07-09,https://youtu.be/cZj9oQ-5aaY,drOpped-iN historical import (2010-2017)
246,Wice,Just Kiddin [STEIN001],1,2017-07-09,2017-07-09,https://youtube.com/watch?v=U4MZfOulxpQ,drOpped-iN historical import (2010-2017)
247,Arovane,Tascel_7,1,2017-07-08,2017-07-08,https://youtube.com/watch?v=gGBeUDa2SiQ,drOpped-iN historical import (2010-2017)
248,,Susumu Yokota Genshi,1,2017-07-08,2017-07-08,https://youtube.com/watch?v=E4GRaVnFniA,drOpped-iN historical import (2010-2017)
253,Ben Klock,Subzero,28,2012-10-15,2017-07-04,https://youtube.com/watch?v=5IrHzrg4qdQ,drOpped-iN historical import (2010-2017)
255,Vainqueur,Lyot (Maurizio Mix),17,2012-08-27,2017-07-03,https://youtube.com/watch?v=XOiqVejo4gk,drOpped-iN historical import (2010-2017)
257,Ryan James Ford,Kirra Rengo,2,2016-09-27,2017-07-03,https://youtube.com/watch?v=Xq0IEI-V5Vk,drOpped-iN historical import (2010-2017)
258,Vakat,Alpha Pictoris,1,2017-07-03,2017-07-03,https://youtube.com/watch?v=JzCA8qPJxqA,drOpped-iN historical import (2010-2017)
259,Faithless,We Come 1,1,2017-07-03,2017-07-03,https://youtu.be/65EfTFUFDwI,drOpped-iN historical import (2010-2017)
261,,Ancient Methods | Knights & Bishops [Ancient Methods 2013],3,2013-11-04,2017-07-03,https://youtu.be/b80DqcFLI-c,drOpped-iN historical import (2010-2017)
262,Kylie Minogue,Can't Get You Out Of My Head (HD),2,2017-05-29,2017-07-03,https://youtube.com/watch?v=YPwtJ89jes4,drOpped-iN historical import (2010-2017)
264,Celeda,The Underground (Original Tribal Mix),3,2013-12-31,2017-07-03,https://youtube.com/watch?v=7-qApgcXcVA,drOpped-iN historical import (2010-2017)
