track_id,post_id,page,date,text,source_url
65,248,Berghain Music,2017-07-10,Vincent Neumann,https://facebook.com/142162245821280_1384504528253706
65,743,Berghain Music,2017-05-08,Ron Albrecht,https://facebook.com/142162245821280_831166817034758
65,929,Berghain Music,2017-04-18,Vincent Neumann,https://facebook.com/142162245821280_1375403712502923
65,1413,Berghain Music,2017-02-20,Ron Albrecht :),https://facebook.com/142162245821280_786400068178100
65,1800,Berghain Music,2017-01-04,MARCEL DETTMANN,https://facebook.com/142162245821280_1552171324812514
65,3610,Berghain Music,2016-06-07,"Vincent Neumann, 5.45
You know, coke n shit",https://facebook.com/142162245821280_10205461890901802
65,3673,Berghain Music,2016-06-06,vincent neumann,https://facebook.com/142162245821280_10205266096446820
65,5746,Berghain Music,2015-09-14,Vincent Neumann!,https://facebook.com/142162245821280_10203696754297974
65,7613,Berghain Music,2015-01-03,"Kobosil 

Rok - Coke N Shit     Defender 2:",https://facebook.com/142162245821280_10152657766438877
66,69,Berghain Music,2017-07-31,Dr. Rubinstein,https://facebook.com/142162245821280_1406065822764243
66,2292,Berghain Music,2016-11-07,Dr. Rubinstein,https://facebook.com/142162245821280_726394424178665
66,5989,Berghain Music,2015-08-17,b2b,https://facebook.com/142162245821280_1176169799075586
67,70,Berghain Music,2017-07-31,Dr. Rubinstein,https://facebook.com/142162245821280_1406065679430924
67,91,Berghain Music,2017-07-30,Dr. Rubinstein,https://facebook.com/142162245821280_1405620389475453
67,538,Berghain Music,2017-06-05,Freddy K,https://facebook.com/142162245821280_1349012831802876
68,71,Berghain Music,2017-07-31,Dr. Rubinstein,https://facebook.com/142162245821280_1406065386097620
68,436,Berghain Music,2017-06-13,RØDHÅD,https://facebook.com/142162245821280_1357313734306119
68,857,Berghain Music,2017-04-24,Dr. Rubinstein,https://facebook.com/142162245821280_823474661137307
69,72,Berghain Music,2017-07-31,Shinedoe,https://facebook.com/142162245821280_1406064959430996
69,164,Berghain Music,2017-07-17,Fiedel,https://facebook.com/142162245821280_1391518194219006
69,1242,Berghain Music,2017-03-13,Rolando,https://facebook.com/142162245821280_797735977044509
69,4044,Berghain Music,2016-04-11,Fiedel,https://facebook.com/142162245821280_628004667350975
69,6174,Berghain Music,2015-07-27,Fiedel,https://facebook.com/142162245821280_10153489015463749
69,8998,Berghain Music,2014-05-05,Thüle?,https://facebook.com/142162245821280_10152861953379816
69,9476,Berghain Music,2014-02-17,Davenport,https://facebook.com/142162245821280_10201207766146955
69,9629,Berghain Music,2014-01-21,Too many rob hood traxx were played. Think this was dino?,https://facebook.com/142162245821280_10152607747374816
69,9707,Berghain Music,2014-01-12,psyk. hood bomb #1,https://facebook.com/142162245821280_448102728624376
69,10158,Berghain Music,2013-10-21,mark broom,https://facebook.com/142162245821280_10153389266335323
69,10248,Berghain Music,2013-09-30,Luke?,https://facebook.com/142162245821280_10152302237824816
69,11000,Berghain Music,2013-04-01,Played by Grindvik. Killer track..,https://facebook.com/142162245821280_453770408034691
69,12620,Berghain Music,2011-06-19,hood & rolando as well if im not mistaken.,https://facebook.com/10104436326877452_217081841665358
69,12931,Berghain Music,2010-11-01,Last post... Dettmann,https://facebook.com/10100637292153581_171693332842279
70,74,Berghain Music,2017-07-31,Terrence Parker @ Garden & Shinedoe,https://facebook.com/142162245821280_1406064796097679
70,80,Berghain Music,2017-07-31,Shinedoe,https://facebook.com/142162245821280_1405920606112098
70,13488,Panorama Bar Music,2017-07-31,Terrence Parker,https://facebook.com/247952204861_10155131050989862
70,159,Berghain Music,2017-07-17,Fiedel,https://facebook.com/142162245821280_1391528927551266
70,202,Berghain Music,2017-07-16,stranger,https://facebook.com/142162245821280_1390515794319246
70,462,Berghain Music,2017-06-12,Function,https://facebook.com/142162245821280_1356069571097202
70,793,Berghain Music,2017-05-01,Norman Nodge,https://facebook.com/142162245821280_10212187909231396
70,13867,Panorama Bar Music,2017-03-06,Italojohnson,https://facebook.com/247952204861_1292817190773315
70,1344,Berghain Music,2017-02-27,"Fiedel One so um ca 4,5?",https://facebook.com/142162245821280_1575828025768188
70,14009,Panorama Bar Music,2017-01-10,nd_baumecker...track that launched a thousand sessions.,https://facebook.com/247952204861_10154450499774862
70,2573,Berghain Music,2016-10-02,heard this around five o clock on Monday morning. place was on wheels,https://facebook.com/142162245821280_938788616265303
70,6345,Berghain Music,2015-07-02,"not sure who, but yay!",https://facebook.com/142162245821280_665196140281495
