track_artist,track_title,count,post_count,first_seen,last_seen,source_url
Bizarre Inc,Playing With Knives,2,2,2011-02-14,2014-10-30,https://youtube.com/watch?v=TLlvYaCZ8Vc
O B Ignitt,Oh Jabba (Original Mix),4,4,2013-05-21,2014-10-29,http://youtube.com/watch?v=Q-c7TPaE_yA
2 Bitches From Queens,The Dip,1,1,2014-10-28,2014-10-28,https://youtube.com/watch?v=aW118ZcHIL0
Omar S & Ob Ignitt,Wayne County Hill Cop's [Original Mix] FXHE,2,2,2013-05-20,2014-10-28,https://youtube.com/watch?v=p4J0k14O-ho
DJ W!ld,Dream Of Me (Original Mix),1,1,2014-10-27,2014-10-27,https://youtube.com/watch?v=ockPjRv0ZvM
New York House'n Authority,Dyckman House,1,1,2014-10-27,2014-10-27,https://youtube.com/watch?v=V7l2pgPDJD8
Ian Pooley,900 Degrees (Cool Down Mix),1,1,2014-10-27,2014-10-27,https://youtube.com/watch?v=NUaBk3JmN5c#t=269
Omar S,It's Money In The D,2,2,2013-12-23,2014-10-27,http://youtube.com/watch?v=oN7uojJ55Rw
Omar-S,U (vocal),2,2,2013-02-25,2014-10-27,https://youtube.com/watch?v=nU3ChoPh3V0
Blake Baxter,Forbidden Fruit,1,1,2014-10-26,2014-10-26,http://youtube.com/watch?v=bAMTuZMAyRY
Gino Soccio,"Try It Out  ( 12"" Extended )",1,1,2014-10-26,2014-10-26,http://youtube.com/watch?v=GHzReVtYQNo
Lil' Louis & The World,I Called U (But You Weren't There),2,2,2014-10-25,2014-10-25,https://youtube.com/watch?v=EJuKtNFW-_4#t=100
Burial & Four Tet,Nova,2,2,2013-02-23,2014-10-22,https://youtube.com/watch?v=ufGAn6ddT20
Matthew Styles,Codex (NFS002),1,1,2014-10-22,2014-10-22,http://youtube.com/watch?v=mt4zkEdp0oo
Talaboman,"Sideral Feat. John Talabot, Axel Boman (Matt Karmil Remix)",1,1,2014-10-21,2014-10-21,http://youtu.be/dfS0jeObEhc
Ready For The World,Oh Sheila,1,1,2014-10-21,2014-10-21,http://youtu.be/wbL2lMn34Oo
